Sr no ,region,country,emissions,type,segment,reason,baseYear,
0,Africa,Algeria,257.6112061,Agriculture,Total,All,2019-2021,
1,Africa,Algeria,0.052000001,Energy,Bioenergy,All,2022,
2,Africa,Algeria,130.798996,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
3,Africa,Algeria,69.74189758,Energy,Gas pipelines and LNG facilities,Vented,2022,
4,Africa,Algeria,213.9869995,Energy,Onshore gas,Fugitive,2022,371260.755
5,Africa,Algeria,464.3080139,Energy,Onshore gas,Vented,2022,
6,Africa,Algeria,469.7869873,Energy,Onshore oil,Flared,2022,
7,Africa,Algeria,85.18720245,Energy,Onshore oil,Fugitive,2022,
8,Africa,Algeria,1154.119995,Energy,Onshore oil,Vented,2022,
9,Africa,Algeria,0.004,Energy,Other from coal,All,2022,
10,Africa,Algeria,14.20855045,Energy,Other from oil and gas,All,2022,
11,Africa,Algeria,67,Energy,Satellite-detected large oil and gas emissions,All,2022,
13,Africa,Algeria,6.475720882,Other,Total,All,2019-2021,
14,Africa,Algeria,510.9656067,Waste,Total,All,2019-2021,
15,Africa,Angola,400.969574,Agriculture,Total,All,2019-2021,
16,Africa,Angola,57.34000015,Energy,Bioenergy,All,2022,
17,Africa,Angola,2.59168005,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
18,Africa,Angola,1.381880045,Energy,Gas pipelines and LNG facilities,Vented,2022,
19,Africa,Angola,47.64350128,Energy,Offshore oil,Flared,2022,
20,Africa,Angola,29.42110062,Energy,Offshore oil,Fugitive,2022,
21,Africa,Angola,398.6010132,Energy,Offshore oil,Vented,2022,
22,Africa,Angola,3.962359905,Energy,Onshore gas,Fugitive,2022,
23,Africa,Angola,8.597499847,Energy,Onshore gas,Vented,2022,
24,Africa,Angola,0.955902994,Energy,Onshore oil,Flared,2022,
25,Africa,Angola,1.131590009,Energy,Onshore oil,Fugitive,2022,
26,Africa,Angola,15.33090019,Energy,Onshore oil,Vented,2022,
27,Africa,Angola,1.775954008,Energy,Other from oil and gas,All,2022,
